AIRLINE ,IATA CODE,ROUTES
AIRBLUE,PA,DOMESTIC/INTERNATIONAL
PAKISTAN INTERNATIONAL AIRLINE,PIA,DOMESTIC/INTERNATIONAL
AIRSIAL,PF,DOMESTIC/INTERNATIONAL
FLY JINNAH,9P,DOMESTIC/INTERNATIONAL
,,
EMIRATES,EK,INTERNATIONAL
AIR ARABIA,G9,INTERNATIONAL
ETIHAD AIRWAYS,EY,INTERNATIONAL
FLYDUBAI,FZ,INTERNATIONAL
SALAM AIR,OV,INTERNATIONAL
KUWAIT AIRWAYS,KU,INTERNATIONAL
JAZEERA AIRWAYS,J9,INTERNATIONAL
SAUDI AIRLINE,SV,INTERNATIONAL
FLYNAS,XY,INTERNATIONAL
FLYADEAL,F3,INTERNATIONAL
RIYADH AIR,RX,INTERNATIONAL
QATAR AIRWAYS,QR,INTERNATIONAL
GULF AIR,GF,INTERNATIONAL
OMAN AIR,,
TURKISH AIRLINES,TK,INTERNATIONAL
PEGASUS AIRLINES,PC,INTERNATIONAL
THAI AIRLINE,TG,INTERNATIONAL
MALINDO,OD,INTERNATIONAL
MAHAN AIR,W5,INTERNATIONAL
KAM AIR,RQ,INTERNATIONAL
ARIANA AFGHAN AIRWAYS,FG,INTERNATIONAL
CHINA SOUTHERN AIRLINES,CZ,INTERNATIONAL
AIR CHINA,CA,INTERNATIONAL
UZBEKISTAN AIRWAYS,HY,INTERNATIONAL
ETHIOPIAN AIRLINES,ET,INTERNATIONAL
AZERBAIJAN AIRLINES,J2,INTERNATIONAL
SRILANKAN AIRLINES,UL,INTERNATIONAL
BIMAN AIR,BG,INTERNATIONAL
AERO NOMAD,KA,INTERNATIONAL
CENTRUM AIR,C6,INTERNATIONAL
